obs	pixelscale	x	y	fov	fovx	fovy	foveff	hemisphere	exptime	depth	filter
LOAO	0.794	2048	2048	0.204	27.102	27.102	38.328	N	10	20.7	R
CBNUO	1.04	4096	4096	1.400	70.997	70.997	100.405	N	10	18.6	R
SAO	0.13	9576	6388	0.794	20.700	13.800	24.878	N	10	19.7	R
KCT	0.724	4096	4096	0.679	49.425	49.425	69.898	S	10	20	r
MAO	0.266	4096	4096	0.092	18.159	18.159	25.681	N	2	22	R
DOAO	0.462	2048	2048	0.069	15.7696	15.7696	22.302	N	3	19	R
SOAO	0.4454	2048	2048	0.064	15.203	15.203	21.500	N	15	19.4	R
KHAO	0.3525	2048	2048	0.040	12.032	12.032	17.016	N	15	18.4	R
MDFTS	0.757	1663	1252	0.092	20.982	15.796	26.263	N	10	18.4	R
RASA36	2.36	4096	4096	7.210	161.109	161.109	227.843	S	10	19.2	r
LSGT	0.268	4656	3520	0.091	20.797	15.723	26.071	S	10	20.1	r
30INCH	1.3553	2048	2048	0.594	46.261	46.261	65.423	N			
CCA250	2.06	4096	4096	5.494	140.629	140.629	198.880	N	10	20	V
KMTNet	0.4	9216	9232	4.000	120.000	120.000	169.706	S	2	22	R
UKIRT				0.000	0.000	0.000	0.000	S			
SQUEAN				0.000	0.000	0.000	0.000	N			
MAAO	0.41	4096	4096	0.221	28.2	28.2	39.881	N	10	19.64	R
DNSM	0.0	0	0	0.0625	0.25	0.25	0.0625	N	10	19.0	R
7DT-broad	0.5	9576	6388	1.179	79.8	53.2	95.908	S	5	22	r
7DT-med	0.5	9576	6388	1.179	79.8	53.2	95.908	S	5	20.8	m6250