name,ra,dec,d_L,prob_vol,stmass,prob_vol_x_stmass,rank,confidence,obj,note,weight
1151336,197.449,-23.384,41.010,0.0038030311491884256,2.200000047683716,1.000,0,0.5,MS181101ab,1151336,1.000
1151235,196.891,-24.009,47.737,0.0016910218943979346,3.5,0.707,1,0.5,MS181101ab,1151235,0.707
1151925,196.775,-23.677,41.622,0.003261598295888195,1.2999999523162842,0.507,2,0.9,MS181101ab,1151925,0.507
1261378,197.018,-23.797,32.562,0.003086111174006454,1.2000000476837158,0.443,3,0.9,MS181101ab,1261378,0.443
1151111,194.366,-19.691,49.459,0.0008987918849432753,3.4000000953674316,0.365,4,0.9,MS181101ab,1151111,0.365
1151752,196.735,-23.917,41.619,0.002677512008035634,1.100000023841858,0.352,5,0.9,MS181101ab,1151752,0.352
1159426,196.271,-22.384,35.061,0.006187533331938209,0.15000000596046448,0.111,6,0.9,MS181101ab,1159426,0.111
1159936,196.907,-23.579,46.073,0.002798525946299541,0.30000001192092896,0.100,7,0.95,MS181101ab,1159936,0.100
1171562,196.666,-22.456,45.131,0.004541098585701625,0.10000000149011612,0.054,8,0.95,MS181101ab,1171562,0.054
1156123,199.097,-26.562,46.961,0.0005433681292443761,0.699999988079071,0.045,9,0.95,MS181101ab,1156123,0.045
1164528,197.691,-23.866,40.152,0.0031431698618739025,0.10999999940395355,0.041,10,0.95,MS181101ab,1164528,0.041
1324700,193.107,-15.517,51.184,0.000652957442424581,0.5,0.039,11,0.99,MS181101ab,1324700,0.039
1330001,197.691,-23.866,32.037,0.0022599035880967004,0.10000000149011612,0.027,12,0.99,MS181101ab,1330001,0.027
1326516,197.177,-23.776,37.577,0.004255948404599561,0.05000000074505806,0.025,13,0.99,MS181101ab,1326516,0.025
1263265,197.466,-24.239,36.839,0.003407231924225234,0.05999999865889549,0.024,14,0.99,MS181101ab,1263265,0.024
1263502,194.386,-19.700,51.671,0.0006124325807232684,0.2199999988079071,0.016,15,0.99,MS181101ab,1263502,0.016
1171561,196.600,-24.164,39.379,0.0015603679896519682,0.07999999821186066,0.015,16,0.99,MS181101ab,1171561,0.015
1169640,196.907,-23.938,50.177,0.001104821373489826,0.10999999940395355,0.014,17,0.99,MS181101ab,1169640,0.014
2409443,197.135,-23.347,44.367,0.003748249006786596,0.029999999329447746,0.013,18,0.99,MS181101ab,2409443,0.013
1264958,193.999,-19.269,42.499,0.0013797008265634464,0.05999999865889549,0.010,19,0.99,MS181101ab,1264958,0.010
2395186,193.706,-16.052,47.815,0.001801828921626357,0.029999999329447746,0.006,20,0.99,MS181101ab,2395186,0.006
1329989,196.937,-22.858,26.182,0.0019081051736546638,0.019999999552965164,0.005,21,1.0,MS181101ab,1329989,0.005
1264970,197.649,-21.748,38.895,0.0003513730413885846,0.10000000149011612,0.004,22,1.0,MS181101ab,1264970,0.004
13280775,197.321,-24.385,39.334,0.0032361374195667802,0.009999999776482582,0.004,23,1.0,MS181101ab,13280775,0.004
2406489,196.892,-23.815,42.146,0.0032258974827123945,0.009999999776482582,0.004,24,1.0,MS181101ab,2406489,0.004
1325554,196.063,-22.881,37.683,0.0030698238854378183,0.009999999776482582,0.004,25,1.0,MS181101ab,1325554,0.004
1328590,196.879,-23.170,39.314,0.005141916056686582,0.004999999888241291,0.003,26,1.0,MS181101ab,1328590,0.003
1326524,196.348,-23.523,38.096,0.002114774314540872,0.012000000104308128,0.003,27,1.0,MS181101ab,1326524,0.003
1331138,197.324,-24.382,36.455,0.003062261440177662,0.00800000037997961,0.003,28,1.0,MS181101ab,1331138,0.003
2400685,194.690,-17.543,55.473,0.0003799848185422061,0.05000000074505806,0.002,29,1.0,MS181101ab,2400685,0.002
2395181,193.835,-17.096,55.186,0.0005183766161646324,0.029999999329447746,0.002,30,1.0,MS181101ab,2395181,0.002
13280171,196.782,-24.110,27.611,0.0011252869417311645,0.009999999776482582,0.001,31,1.0,MS181101ab,13280171,0.001
2402886,194.550,-21.046,41.783,0.0004960772107901814,0.019999999552965164,0.001,32,1.0,MS181101ab,2402886,0.001
2414929,198.195,-25.987,39.886,0.0014215411256187287,0.004999999888241291,0.001,33,1.0,MS181101ab,2414929,0.001
13320960,196.530,-22.158,57.335,0.00048208635347982024,0.009999999776482582,0.001,34,1.0,MS181101ab,13320960,0.001
13457461,199.183,-26.834,47.677,0.00046600171955713654,0.009999999776482582,0.001,35,1.0,MS181101ab,13457461,0.001
1329986,196.719,-22.842,32.484,0.004583286223985018,0.0010000000474974513,0.001,36,1.0,MS181101ab,1329986,0.001
1688248,194.256,-17.390,26.787,0.004506517657350368,0.0010000000474974513,0.000,37,1.0,MS181101ab,1688248,0.000
1332009,194.256,-17.390,26.787,0.004506517657350368,0.0010000000474974513,0.000,38,1.0,MS181101ab,1332009,0.000
13085189,193.216,-16.021,24.900,0.00311986638068581,0.0010000000474974513,0.000,39,1.0,MS181101ab,13085189,0.000
13090703,193.239,-17.706,35.960,0.002960922736883853,0.0010000000474974513,0.000,40,1.0,MS181101ab,13090703,0.000
13106319,194.261,-19.519,35.862,0.0029249991539493387,0.0010000000474974513,0.000,41,1.0,MS181101ab,13106319,0.000
1330029,199.450,-26.902,34.049,0.0003752789445673111,0.007000000216066837,0.000,42,1.0,MS181101ab,1330029,0.000
1329996,197.329,-24.385,31.936,0.002198944883166129,0.0010000000474974513,0.000,43,1.0,MS181101ab,1329996,0.000
1325556,196.354,-23.503,43.157,0.0016739756028040873,0.0010000000474974513,0.000,44,1.0,MS181101ab,1325556,0.000
13142330,193.517,-15.835,21.262,0.0013451313802002752,0.0010000000474974513,0.000,45,1.0,MS181101ab,13142330,0.000
1329987,196.782,-24.111,26.171,0.0009775186165833277,0.0010000000474974513,0.000,46,1.0,MS181101ab,1329987,0.000
1329991,197.064,-21.002,33.315,0.0008623942720780201,0.0010000000474974513,0.000,47,1.0,MS181101ab,1329991,0.000
13217203,195.496,-22.789,44.900,0.0005035822090856648,0.0010000000474974513,0.000,48,1.0,MS181101ab,13217203,0.000
13105857,193.861,-19.785,38.292,0.0004748970848498905,0.0010000000474974513,0.000,49,1.0,MS181101ab,13105857,0.000
13384365,198.387,-23.862,50.330,0.00036563680911368325,0.0010000000474974513,0.000,50,1.0,MS181101ab,13384365,0.000
1331441,193.899,-15.018,26.895,0.00036405189069760964,0.0010000000474974513,0.000,51,1.0,MS181101ab,1331441,0.000
